Model,CV MAE,CV RMSE,CV R2,Train CV RMSE,Test MAE,Test RMSE,Test R2
Random Forest,803025.8837535826,1279075.340705595,0.6591974013504789,753510.0798329532,521567.6968938571,783778.5099871071,0.9467197543185625
Linear Regression,1120846.3632117745,1443679.289739133,0.060789446332639815,1309690.8698770776,759581.7246896353,1136089.2805370805,0.8880550672555417
Gradient Boosting,915925.2055418771,1480743.5293270107,0.6124991959994309,346703.87358432676,439496.47792589327,758940.8219911744,0.9500431159728374
